"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CARBORUNIV","Carborundum Universal Limited","EQ","Agm/ Div-100%/Bonus 1:1","1","23-Jun-2005","-","25-Jun-2005","23-Jul-2005"
"UNIWESTBNK","United Western Bank Limited","EQ","Bonus - 1:5/Rights - 1:2","10","17-Jan-2006","-","24-Jan-2006","25-Jan-2006"
"CIPLA","Cipla Limited","EQ","Bonus 3:2","2","24-Apr-2006","25-Apr-2006","-","-"
"IVC","IL&FS Investment Managers Limited","EQ","Agm / Div-35% / Bonus 1:2","2","23-Jun-2006","-","27-Jun-2006","06-Jul-2006"
"INFY","Infosys Limited","EQ","Bonus 1:1","5","13-Jul-2006","14-Jul-2006","-","-"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Agm/Div - 120%/Bonus 1:1","2","19-Jul-2006","-","21-Jul-2006","27-Jul-2006"
"HAVELLS","Havells India Limited","EQ","Bonus 1:1","1","20-Jul-2006","21-Jul-2006","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Intdiv-Rs 3persh/Bonus1:1","1","28-Jul-2006","31-Jul-2006","-","-"
"LUPIN","Lupin Limited","EQ","Bonus 1:1","2","11-Aug-2006","14-Aug-2006","-","-"
"DRREDDY","Dr. Reddy's Laboratories Limited","EQ","Bonus 1:1","5","28-Aug-2006","29-Aug-2006","-","-"
"ZYDUSLIFE","Zydus Lifesciences Limited","EQ","Bonus 1:1","1","30-Aug-2006","31-Aug-2006","-","-"
"BHAGYNAGAR","Bhagyanagar India Limited","EQ","Bonus 1:1","2","07-Sep-2006","08-Sep-2006","-","-"
"EIHOTEL","EIH Limited","EQ","Spl-Rs10 To Rs2/Bonus-1:2","2","12-Sep-2006","19-Sep-2006","-","-"
"JTEKTINDIA","Jtekt India Limited","EQ","Bonus 1:1","1","14-Sep-2006","15-Sep-2006","-","-"
"NCC","NCC Limited","EQ","Bonus 1:1","2","20-Sep-2006","21-Sep-2006","-","-"
"ALPSINDUS","Alps Industries Limited","EQ","Dividend-7.50% /Bonus 1:1","10","22-Sep-2006","-","26-Sep-2006","27-Sep-2006"
"JAYBARMARU","Jay Bharat Maruti Limited","EQ","Bonus 1:1","2","25-Sep-2006","26-Sep-2006","-","-"
"LT","Larsen & Toubro Limited","EQ","Bonus 1:1","2","28-Sep-2006","29-Sep-2006","-","-"
"GUJNRECOKE","Gujarat NRE Coke Limited","EQ","Bonus 1:1","10","28-Sep-2006","29-Sep-2006","-","-"
"SATYAMCOMP","Satyam Computer Services Limited","EQ","Bonus-1:1","2","09-Oct-2006","10-Oct-2006","-","-"
"BERGEPAINT","Berger Paints (I) Limited","EQ","Bonus 3:5","1","12-Oct-2006","13-Oct-2006","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Bonus 1:2","5","27-Oct-2006","30-Oct-2006","-","-"
"OPTOCIRCUI","Opto Circuits (India) Limited","EQ","Bonus 1:1","10","30-Oct-2006","31-Oct-2006","-","-"
"JAGRAN","Jagran Prakashan Limited","EQ","Bonus 1:5","2","02-Nov-2006","03-Nov-2006","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Bonus 1:1","2","13-Nov-2006","14-Nov-2006","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Bonus 1:2/Rights 1:1","10","17-Nov-2006","24-Nov-2006","-","-"
"HINDDORROL","Hindustan Dorr-Oliver Limited","EQ","Bonus 1:5","2","23-Nov-2006","24-Nov-2006","-","-"
"CGPOWER","CG Power and Industrial Solutions Limited","EQ","Bonus 2:5","2","14-Dec-2006","15-Dec-2006","-","-"
"BSOFT","BIRLASOFT LIMITED","EQ","Bonus-1:1 Spl-Rs 5/ To 2/","2","04-Jan-2007","11-Jan-2007","-","-"
"SUNDRMFAST","Sundram Fasteners Limited","EQ","Bonus-1:1","1","04-Jan-2007","05-Jan-2007","-","-"
"APARINDS","Apar Industries Limited","EQ","Bonus-1:3","10","11-Jan-2007","12-Jan-2007","-","-"
"DOLPHINOFF","Dolphin Offshore Enterprises (India) Limited","EQ","Bonus 3:5","10","11-Jan-2007","12-Jan-2007","-","-"
"SOTL","Savita Oil Technologies Limited","EQ","Bonus 2:3","2","17-Jan-2007","18-Jan-2007","-","-"
"NANDAN","Nandan Exim Limited","EQ","Bonus 1:1","1","18-Jan-2007","19-Jan-2007","-","-"
"ZANDUREALT","Zandu Realty Limited","EQ","Bonus 1:3","100","18-Jan-2007","20-Jan-2007","-","-"
"DABUR","Dabur India Limited","EQ","Bonus - 1:2","1","25-Jan-2007","29-Jan-2007","-","-"
"ALCHEMIST","Alchemist Limited","EQ","Bonus 1:1","1","08-Mar-2007","09-Mar-2007","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Bonus 1:1","2","15-Mar-2007","16-Mar-2007","-","-"
"ANSALAPI","Ansal Properties & Infrastructure Limited","EQ","Bonus 1:1","5","23-Apr-2007","24-Apr-2007","-","-"
"BHEL","Bharat Heavy Electricals Limited","EQ","Bonus 1:1","2","31-May-2007","01-Jun-2007","-","-"
"BOSCHCHASY","Bosch Chassis Systems India Limited","EQ","Bonus - 1:1","10","06-Jun-2007","07-Jun-2007","-","-"
"GEMINI","Gemini Communication Limited","EQ","Bonus 1:1","1","17-Jul-2007","18-Jul-2007","-","-"
"MOSERBAER","Moser-Baer (I) Limited","EQ","Bonus 1:2","10","17-Jul-2007","18-Jul-2007","-","-"
"PRAJIND","Praj Industries Limited","EQ","Bonus 1:1","2","18-Jul-2007","-","20-Jul-2007","25-Jul-2007"
"GDL","Gateway Distriparks Limited","EQ","Bonus 1:4","10","02-Aug-2007","03-Aug-2007","-","-"
"NUCLEUS","Nucleus Software Exports Limited","EQ","Bonus 1:1","10","03-Aug-2007","06-Aug-2007","-","-"
"BANKRAJAS","The Bank of Rajasthan Limited","EQ","Agm/Div-20%/Bonus 1:4","10","16-Aug-2007","-","18-Aug-2007","03-Sep-2007"
"GEODESIC","Geodesic Limited","EQ","Bonus 1:2","2","17-Aug-2007","21-Aug-2007","-","-"
"3IINFOTECH","3i Infotech Limited","EQ","Bonus 1:1","10","27-Aug-2007","28-Aug-2007","-","-"
"UNITECH","Unitech Limited","EQ","Bonus 1:1","2","30-Aug-2007","31-Aug-2007","-","-"
"BANCOINDIA","Banco Products (I) Limited","EQ","Bonus 1:1","2","30-Aug-2007","31-Aug-2007","-","-"
"COFORGE","Coforge Limited","EQ","Bonus 1:2","10","30-Aug-2007","31-Aug-2007","-","-"
"MOTHERSON","Samvardhana Motherson International Limited","EQ","Bonus 1:2","1","30-Aug-2007","31-Aug-2007","-","-"
"NORTHGATE","Northgate Technologies Limited","EQ","Bonus 1:1","10","31-Aug-2007","03-Sep-2007","-","-"
"VALECHAENG","Valecha Engineering Limited","EQ","Bonus 1:2","10","04-Oct-2007","05-Oct-2007","-","-"
"ELECON","Elecon Engineering Company Limited","EQ","Bonus 2:1","1","10-Oct-2007","11-Oct-2007","-","-"
"KERNEX","Kernex Microsystems (India) Limited","EQ","Bonus 1:10","10","16-Oct-2007","17-Oct-2007","-","-"
"TV-18","Television Eighteen India Limited","EQ","Bonus 1:1","5","17-Oct-2007","18-Oct-2007","-","-"
"ASHAPURMIN","Ashapura Minechem Limited","EQ","Bonus 1:1","2","18-Oct-2007","19-Oct-2007","-","-"
"JBMA","JBM Auto Limited","EQ","Bonus 1:2","2","24-Oct-2007","25-Oct-2007","-","-"
"KIRLOSOIL","Kirloskar Oil Engines Limited","EQ","Bonus 1:1","2","25-Oct-2007","27-Oct-2007","-","-"
"OPTOCIRCUI","Opto Circuits (India) Limited","EQ","Bonus 1:2","10","25-Oct-2007","26-Oct-2007","-","-"
"ASTRAZEN","AstraZeneca Pharma India Limited","EQ","Sch Of Agmt- Bonus Deb1:1","2","04-Jan-2008","11-Jan-2008","-","-"
"ROLTA","Rolta India Limited","EQ","Bonus 1 : 1","10","24-Jan-2008","25-Jan-2008","-","-"
"SIEMENS","Siemens Limited","EQ","Bonus 1:1","2","29-Feb-2008","03-Mar-2008","-","-"
"STCINDIA","The State Trading Corporation of India Limited","EQ","Bonus - 1:1","10","19-Mar-2008","24-Mar-2008","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Bonus - 1:1","5","16-Apr-2008","17-Apr-2008","-","-"
"NMDC","NMDC Limited","EQ","Bonus 2:1","1","21-May-2008","22-May-2008","-","-"
"RPOWER","Reliance Power Limited","EQ","Bonus 3:5","10","30-May-2008","-","03-Jun-2008","05-Jun-2008"
"IVC","IL&FS Investment Managers Limited","EQ","Bonus - 1:2","2","28-Jul-2008","29-Jul-2008","-","-"
"HDIL","Housing Development and Infrastructure Limited","EQ","Bonus - 2:7","10","21-Aug-2008","22-Aug-2008","-","-"
"SUNDARMFIN","Sundaram Finance Limited","EQ","Bonus 1:1","10","22-Aug-2008","25-Aug-2008","-","-"
"BIOCON","Biocon Limited","EQ","Bonus 1:1","5","11-Sep-2008","12-Sep-2008","-","-"
"BANKRAJAS","The Bank of Rajasthan Limited","EQ","Bonus 1: 5","10","18-Sep-2008","20-Sep-2008","-","-"
"MMFL","MM Forgings Limited","EQ","Bonus - 1:1","10","26-Sep-2008","30-Sep-2008","-","-"
"AROGRANITE","Aro Granite Industries Limited","EQ","Bonus 1:2","10","26-Sep-2008","30-Sep-2008","-","-"
"SANWARIA","Sanwaria Consumer Limited","EQ","Bonus 1:1","1","26-Sep-2008","30-Sep-2008","-","-"
"VALECHAENG","Valecha Engineering Limited","EQ","Bonus 1:2","10","01-Oct-2008","03-Oct-2008","-","-"
"LT","Larsen & Toubro Limited","EQ","Bonus 1:1","2","01-Oct-2008","03-Oct-2008","-","-"
"GAIL","GAIL (India) Limited","EQ","Bonus 1:2","10","06-Oct-2008","07-Oct-2008","-","-"
"HIRECT","Hind Rectifiers Limited","EQ","Bonus - 1:1","2","06-Oct-2008","07-Oct-2008","-","-"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ","Bonus 1:2","1","14-Oct-2008","15-Oct-2008","-","-"
"SOUTHBANK","The South Indian Bank Limited","EQ","Bonus 1:4","1","16-Oct-2008","17-Oct-2008","-","-"
"GMDCLTD","Gujarat Mineral Development Corporation Limited","EQ","Bonus 1:1","2","16-Oct-2008","17-Oct-2008","-","-"
"GUJNRECOKE","Gujarat NRE Coke Limited","EQ","Bonus 2:5","10","17-Oct-2008","20-Oct-2008","-","-"
"UPL","UPL Limited","EQ","Bonus 1:1","2","29-Oct-2008","31-Oct-2008","-","-"
"SCI","Shipping Corporation Of India Limited","EQ","Bonus 1:2","10","29-Oct-2008","31-Oct-2008","-","-"
"OPTOCIRCUI","Opto Circuits (India) Limited","EQ","Bonus 7:10","10","03-Nov-2008","04-Nov-2008","-","-"
"GUJAPOLLO","Gujarat Apollo Industries Limited","EQ","Bonus 1:2","10","19-Dec-2008","22-Dec-2008","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Bonus 1:1/Div-Rs.5 Per Sh","1","16-Jun-2009","17-Jun-2009","-","-"
"DOLPHINOFF","Dolphin Offshore Enterprises (India) Limited","EQ","Agm/ Div-Rs.3 / Bonus 2:5","10","29-Jun-2009","-","02-Jul-2009","02-Jul-2009"
"DIVISLAB","Divi's Laboratories Limited","EQ","Bonus-1:1","2","30-Jul-2009","01-Aug-2009","-","-"
"CORALHUB","Coral Hub Limited","EQ","Bonus 1:2","1","06-Aug-2009","07-Aug-2009","-","-"
"COUNCODOS","Country Condo's Limited","EQ","Bonus 2:1","1","04-Sep-2009","07-Sep-2009","-","-"
"NAVNETEDUL","Navneet Education Limited","EQ","Bonus 3:2","2","08-Sep-2009","09-Sep-2009","-","-"
"GUJRATGAS","Gujarat Gas Company Limited","EQ","Bonus 1:1","2","17-Sep-2009","19-Sep-2009","-","-"
"SUNCLAYTON","Sundaram Clayton Limited","EQ","Bonus 1:1","5","09-Oct-2009","12-Oct-2009","-","-"
"SWELECTES","Swelect Energy Systems Limited","EQ","Bonus 1:1","10","14-Oct-2009","15-Oct-2009","-","-"
"IOC","Indian Oil Corporation Limited","EQ","Bonus 1:1","10","29-Oct-2009","30-Oct-2009","-","-"
"RELIANCE","Reliance Industries Limited","EQ","Bonus 1:1","10","26-Nov-2009","27-Nov-2009","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Bonus 1:1","1","10-Dec-2009","11-Dec-2009","-","-"
"JPASSOCIAT","Jaiprakash Associates Limited","EQ","Bonus 1:2","2","17-Dec-2009","18-Dec-2009","-","-"
"WEBELSOLAR","Websol Energy System Limited","EQ","Bonus 1:1","10","29-Dec-2009","30-Dec-2009","-","-"
"SHREEASHTA","Shree Ashtavinayak Cine Vision Limited","EQ","Bonus 4:1","1","01-Feb-2010","02-Feb-2010","-","-"
"FCSSOFT","FCS Software Solutions Limited","EQ","Bonus 1:1","1","26-Feb-2010","02-Mar-2010","-","-"
"CGPOWER","CG Power and Industrial Solutions Limited","EQ","Bonus 3:4","2","08-Mar-2010","09-Mar-2010","-","-"
"BRITANNIA","Britannia Industries Limited","EQ","Sch Of Agmt- Bonus Deb1:1","1","08-Mar-2010","09-Mar-2010","-","-"
"HINDDORROL","Hindustan Dorr-Oliver Limited","EQ","Bonus 1:1","2","15-Mar-2010","17-Mar-2010","-","-"
"RENUKA","Shree Renuka Sugars Limited","EQ","Bonus 1:1","1","15-Mar-2010","17-Mar-2010","-","-"
"PIDILITIND","Pidilite Industries Limited","EQ","Bonus 1:1","1","15-Mar-2010","17-Mar-2010","-","-"
"IVRCLINFRA","IVRCL Limited","EQ","Bonus 1:1","2","18-Mar-2010","19-Mar-2010","-","-"
"ZYDUSLIFE","Zydus Lifesciences Limited","EQ","Bonus 1: 2","1","05-Apr-2010","06-Apr-2010","-","-"
"CASTROL","Castrol India Limited","EQ","Bonus 1:1","10","09-Apr-2010","12-Apr-2010","-","-"
"GUJNRECOKE","Gujarat NRE Coke Limited","EQ","Bonus 1 Dvr : 10 Eq Share","10","06-May-2010","07-May-2010","-","-"
"SEINVEST","S.E. Investments Limited","EQ","Bonus 3:1","1","18-May-2010","19-May-2010","-","-"
"IVRCLAH","IVRCL Assets & Holdings Limited","EQ","Bonus 1:2","10","20-May-2010","21-May-2010","-","-"
"RALLIS","Rallis India Limited","EQ","Bonus 1: 2","1","08-Jun-2010","09-Jun-2010","-","-"
"CYIENT","Cyient Limited","EQ","Bonus 1:1","5","10-Jun-2010","12-Jun-2010","-","-"
"WIPRO","Wipro Limited","EQ","Bonus 2:3 And Final Dividend Rs.6/- Per Share","2","15-Jun-2010","16-Jun-2010","-","-"
"KWALITY","kwality limited","EQ","Bonus 5:7","1","15-Jun-2010","16-Jun-2010","-","-"
"RSSOFTWARE","R. S. Software (India) Limited","EQ","Bonus 28:100","5","21-Jun-2010","22-Jun-2010","-","-"
"STER","Sterlite Industries ( India ) Limited","EQ","Bonus 1:1 And Face Value Split From Rs.2/- To Re.1/-","1","21-Jun-2010","22-Jun-2010","-","-"
"PANORAMUNI","Panoramic Universal Limited","EQ","Bonus 5:1","5","21-Jun-2010","22-Jun-2010","-","-"
"KANSAINER","Kansai Nerolac Paints Limited","EQ","Bonus 1:1","1","23-Jun-2010","24-Jun-2010","-","-"
"ORBITCORP","Orbit Corporation Limited","EQ","Bonus 1:1","10","29-Jun-2010","30-Jun-2010","-","-"
"NESCO","Nesco Limited","EQ","Bonus 1:1","2","20-Jul-2010","21-Jul-2010","-","-"
"ZENSARTECH","Zensar Technologies Limited","EQ","Dividend Rs.5.50 Per Share And Bonus 1:1","2","21-Jul-2010","-","23-Jul-2010","26-Jul-2010"
"ECLERX","eClerx Services Limited","EQ","Bonus 1:2","10","23-Jul-2010","26-Jul-2010","-","-"
"MMTC","MMTC Limited","EQ","Bonus 1:1 And Face Value Split From Rs.10 To Re.1","1","29-Jul-2010","30-Jul-2010","-","-"
"ITC","ITC Limited","EQ","Bonus 1:1","1","03-Aug-2010","04-Aug-2010","-","-"
"EDELWEISS","Edelweiss Financial Services Limited","EQ","Face Value Split From Rs.5/- To Re.1/- And Bonus 1:1","1","10-Aug-2010","11-Aug-2010","-","-"
"HCC","Hindustan Construction Company Limited","EQ","Bonus 1:1","1","10-Aug-2010","11-Aug-2010","-","-"
"ZENITHSTL","Zenith Steel Pipes & Industries Limited","EQ","Bonus 1:5","10","11-Aug-2010","12-Aug-2010","-","-"
"AEGISLOG","Aegis Logistics Limited","EQ","Bonus 2:3","1","18-Aug-2010","20-Aug-2010","-","-"
"ZODIACLOTH","Zodiac Clothing Company Limited","EQ","Bonus 1:2","10","23-Aug-2010","24-Aug-2010","-","-"
"CERA","Cera Sanitaryware Limited","EQ","Bonus 1:1","5","02-Sep-2010","03-Sep-2010","-","-"
"NRBBEARING","NRB Bearing Limited","EQ","Bonus 1:1","2","03-Sep-2010","06-Sep-2010","-","-"
"KABRAEXTRU","Kabra Extrusion Technik Limited","EQ","Bonus 1:1","5","06-Sep-2010","07-Sep-2010","-","-"
"BAJAJ-AUTO","Bajaj Auto Limited","EQ","Bonus 1:1","10","08-Sep-2010","10-Sep-2010","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Bonus 1:1","1","08-Sep-2010","09-Sep-2010","-","-"
"DABUR","Dabur India Limited","EQ","Bonus 1:1","1","08-Sep-2010","10-Sep-2010","-","-"
"PDPL","Parenteral Drugs (India) Limited","EQ","Annual General Meeting/Dividend Rs.2/- Per Share/Bonus 1:3","10","13-Sep-2010","-","15-Sep-2010","15-Sep-2010"
"GILLANDERS","Gillanders Arbuthnot & Company Limited","EQ","Bonus 1:2","10","14-Sep-2010","15-Sep-2010","-","-"
"RESURGERE","Resurgere Mines & Minerals India Limited","EQ","Annual General Meeting/Bonus 2:1/Face Value Split From Rs.10/- To Re.1/-","1","15-Sep-2010","-","17-Sep-2010","19-Sep-2010"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Bonus 2:5","2","16-Sep-2010","18-Sep-2010","-","-"
"NAUKRI","Info Edge (India) Limited","EQ","Bonus 1:1","10","27-Sep-2010","28-Sep-2010","-","-"
"TI","Tilaknagar Industries Limited","EQ","Bonus 2:1","10","28-Sep-2010","30-Sep-2010","-","-"
"BLKASHYAP","B. L. Kashyap and Sons Limited","EQ","Bonus 1:1 / Face Value Split From Rs. 5/- To Re. 1/-","1","29-Sep-2010","01-Oct-2010","-","-"
"BIRLACOT","Birla Cotsyn (India) Limited","EQ","Bonus 1:5","1","29-Sep-2010","01-Oct-2010","-","-"
"HAVELLS","Havells India Limited","EQ","Bonus 1:1","1","08-Oct-2010","11-Oct-2010","-","-"
"BIRLAPOWER","Birla Power Solutions Limited","EQ","Bonus 1:5","1","20-Oct-2010","21-Oct-2010","-","-"
"JINDALPOLY","Jindal Poly Films Limited","EQ","Bonus 1:1","10","22-Oct-2010","25-Oct-2010","-","-"
"SAVERA","Savera Industries Limited","EQ","Bonus 1:1","10","25-Oct-2010","26-Oct-2010","-","-"
"ZEEL","Zee Entertainment Enterprises Limited","EQ","Bonus 1:1","1","11-Nov-2010","12-Nov-2010","-","-"
"HITECHGEAR","The Hi-Tech Gears Limited","EQ","Bonus 1:1","10","01-Dec-2010","02-Dec-2010","-","-"
"ELGIEQUIP","Elgi Equipments Limited","EQ","Bonus 1:1","1","14-Dec-2010","-","16-Dec-2010","17-Dec-2010"
"POLYPLEX","Polyplex Corporation Limited","EQ","Bonus 1:1","10","23-Dec-2010","25-Dec-2010","-","-"
"ASTRAMICRO","Astra Microwave Products Limited","EQ","Bonus 1:2","2","30-Dec-2010","31-Dec-2010","-","-"
"SELAN","Selan Exploration Technology Limited","EQ","Bonus 1:10","10","31-Dec-2010","03-Jan-2011","-","-"
"TULSI","Tulsi Extrusions Limited","EQ","Bonus 1:10 (Record Date Revised)","10","07-Jan-2011","10-Jan-2011","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-","5","08-Feb-2011","09-Feb-2011","-","-"
"SREINFRA","SREI Infrastructure Finance Limited","EQ","Bonus 4:5 (Pursuant To Scheme Of Amalgamation)","10","10-Feb-2011","11-Feb-2011","-","-"
"HEXAWARE","Hexaware Technologies Limited","EQ","Dividend Rs 1.40 Per Share / Bonus 1:1","2","24-Feb-2011","25-Feb-2011","-","-"
"HINDZINC","Hindustan Zinc Limited","EQ","Bonus - 1:1 And Face Value Split From Rs. 10 To Rs. 2","2","07-Mar-2011","08-Mar-2011","-","-"
"NATIONALUM","National Aluminium Company Limited","EQ","Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-","5","15-Mar-2011","16-Mar-2011","-","-"
"DRREDDY","Dr. Reddy's Laboratories Limited","EQ","Scheme Of Arrangement - Bonus Debentures 6:1","5","17-Mar-2011","18-Mar-2011","-","-"
"SANWARIA","Sanwaria Consumer Limited","EQ","Bonus 1:1","1","07-Apr-2011","08-Apr-2011","-","-"
