"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CABOTINDIA","Cabot India Limited","EQ","Agm/Dividend-20%","10","01-Jan-2002","-","11-Jan-2002","18-Jan-2002"
"RAVALSUGAR","Ravalgaon Sugar Farm Limited","EQ","Agm/Dividend-100%        Purpose Revised","50","14-Jan-2002","-","24-Jan-2002","31-Jan-2002"
"PUNANDLAMP","Punjab Anand Lamp Industries Limited","EQ","Agm/Dividend-12.50%","10","06-Mar-2002","-","19-Mar-2002","27-Mar-2002"
"GOODRICKE","Goodricke Group Limited","EQ","Agm/Dividend-5%","10","13-Mar-2002","-","26-Mar-2002","02-Apr-2002"
"GRINWELNOR","Grindwell Norton Limited","EQ","Agm/Dividend-30%         Book Closure Dates Revised","10","13-Mar-2002","-","23-Mar-2002","19-Apr-2002"
"RECKCOLMAN","Reckitt Benckiser (India) Limited","EQ","Dividend-25%             Purpose Revised","10","21-Mar-2002","-","05-Apr-2002","19-Apr-2002"
"KRONECOMM","Krone Communications Limited","EQ","Agm/Dividend-15%","10","04-Apr-2002","-","12-Apr-2002","24-Apr-2002"
"SANDVIKAS","Sandvik Asia Limited","EQ","Agm/Dividend-10%","100","04-Apr-2002","-","12-Apr-2002","22-Apr-2002"
"BOOTSPHARM","Abbott India Limited","EQ","Agm/Dividend-100%","10","08-Apr-2002","-","16-Apr-2002","30-Apr-2002"
"MADURACOAT","Madura Coats Limited","EQ","Agm/Dividend-5%","10","11-Apr-2002","-","19-Apr-2002","29-Apr-2002"
"CADBURY","Cadbury India Limited","EQ","Agm/Dividend-60%","10","15-Apr-2002","-","23-Apr-2002","03-May-2002"
"OTIS","Otis Elevator Company (India) Limited","EQ","Dividend-100%","10","15-Apr-2002","-","23-Apr-2002","02-May-2002"
"PARKEDAVIS","Parke- Davis India Limited","EQ","Agm/Dividend-40%","10","15-Apr-2002","-","23-Apr-2002","02-May-2002"
"INDIAPHOTO","Kodak India Limited","EQ","Agm/Dividend-60%         Purpose Revised","10","18-Apr-2002","-","29-Apr-2002","06-May-2002"
