"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"MAHSEAMLES","Maharashtra Seamless Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","18-Apr-2006","25-Apr-2006","-","-"
"ANSALAPI","Ansal Properties & Infrastructure Limited","EQ","Fv Split Rs.10/- To Rs.5/","5","10-May-2006","17-May-2006","-","-"
"HINDDORROL","Hindustan Dorr-Oliver Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","26-May-2006","02-Jun-2006","-","-"
"TUBEINVEST","Tube Investments of India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","31-May-2006","07-Jun-2006","-","-"
"EPL","EPL Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","08-Jun-2006","15-Jun-2006","-","-"
"SIEMENS","Siemens Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","13-Jun-2006","20-Jun-2006","-","-"
"ASTRAZEN","AstraZeneca Pharma India Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","15-Jun-2006","22-Jun-2006","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Fv Split-Rs.10/-To Rs.2/-","2","28-Jul-2006","04-Aug-2006","-","-"
"CGPOWER","CG Power and Industrial Solutions Limited","EQ","Fv Split Rs.10/- To Rs.2/","2","10-Aug-2006","18-Aug-2006","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Fv Split Rs.4/- To Re.1/-","1","24-Aug-2006","31-Aug-2006","-","-"
"GODREJIND","Godrej Industries Limited","EQ","Fv Split Rs.6/- To Re.1/","1","25-Aug-2006","01-Sep-2006","-","-"
"SUPERSPIN","Super Spinning Mills Limited","EQ","Fv Split Rs.10/- To Re.1/","1","01-Sep-2006","08-Sep-2006","-","-"
"EXIDEIND","Exide Industries Limited","EQ","Fv Split Rs.10/- To Re.1/","1","08-Sep-2006","15-Sep-2006","-","-"
