,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
312,ADANIENT,Adani Enterprises Limited,EQ,Agm/Dividend-40%,1.0,05-Aug-2005,-,09-Aug-2005,11-Aug-2005
721,ADANIENT,Adani Enterprises Limited,EQ,Agm/Final Dividend-45%,1.0,24-Jul-2006,-,26-Jul-2006,28-Jul-2006
1136,ADANIENT,Adani Enterprises Limited,EQ,Interim Dividend-45%     Purpose Revised,1.0,22-Mar-2007,23-Mar-2007,-,-
2430,ADANIENT,Adani Enterprises Limited,EQ,Agm/Dividend - 60%,1.0,18-Sep-2008,-,20-Sep-2008,26-Sep-2008
3283,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,1.0,12-Aug-2010,-,14-Aug-2010,21-Aug-2010
4369,ADANIENT,Adani Enterprises Limited,EQ,Dividend-Re.1/- Per Share,1.0,03-Aug-2011,-,05-Aug-2011,10-Aug-2011
5492,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,1.0,02-Aug-2012,-,04-Aug-2012,09-Aug-2012
6540,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Rs.1.40 Per Share,1.0,30-Jul-2013,-,01-Aug-2013,08-Aug-2013
7610,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/Dividend Rs 1.40/- Per Share,1.0,31-Jul-2014,-,02-Aug-2014,09-Aug-2014
8687,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/ Dividend - Rs 1.40/- Per Share,1.0,31-Jul-2015,-,04-Aug-2015,11-Aug-2015
9558,ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 0.40/- Per Share (Purpose Revised),1.0,22-Mar-2016,23-Mar-2016,-,-
10873,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Re 0.40 Per Share,1.0,31-Jul-2017,-,02-Aug-2017,09-Aug-2017
11948,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend Re 0.40 Per Share,1.0,27-Jul-2018,-,31-Jul-2018,07-Aug-2018
13123,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Rs 0.40 Per Share,1.0,29-Jul-2019,-,31-Jul-2019,07-Aug-2019
14149,ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 1 Per Share,1.0,23-Mar-2020,25-Mar-2020,-,-
15113,ADANIENT,Adani Enterprises Limited,EQ, Dividend - Re 1 Per Share,1.0,01-Jul-2021,02-Jul-2021,-,-
16493,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Re 1 Per Share,1.0,14-Jul-2022,15-Jul-2022,-,-
17815,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.20 Per Share,1.0,07-Jul-2023,07-Jul-2023,-,-
19203,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.30 Per Share,1.0,14-Jun-2024,14-Jun-2024,-,-
2350,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Agm/Dividend - 15%,2.0,12-Sep-2008,-,16-Sep-2008,26-Sep-2008
3270,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting And Dividend Rs.1.50 Per Share,2.0,09-Aug-2010,-,11-Aug-2010,21-Aug-2010
3859,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend-Re.0.50 Per Share (Purpose Revised),2.0,14-Feb-2011,15-Feb-2011,-,-
3934,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend-Re.0.40 Per Share (Purpose Revised),2.0,05-May-2011,06-May-2011,-,-
4996,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend Re.0.30 Per Share (Purpose Revised),2.0,13-Feb-2012,14-Feb-2012,-,-
5469,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting/ Dividend Rs 0.70 Per Share,2.0,30-Jul-2012,-,01-Aug-2012,09-Aug-2012
