SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,dividend_amount
ADANIENT,Adani Enterprises Limited,EQ,Agm/Dividend-40%,1,05-Aug-05,-,09-Aug-05,11-Aug-05,0.4
ADANIENT,Adani Enterprises Limited,EQ,Agm/Final Dividend-45%,1,24-Jul-06,-,26-Jul-06,28-Jul-06,0.45
ADANIENT,Adani Enterprises Limited,EQ,Interim Dividend-45%     Purpose Revised,1,22-Mar-07,23-Mar-07,-,-,0.45
ADANIENT,Adani Enterprises Limited,EQ,Agm/Dividend - 60%,1,18-Sep-08,-,20-Sep-08,26-Sep-08,0.6
ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,1,12-Aug-10,-,14-Aug-10,21-Aug-10,0.1
ADANIENT,Adani Enterprises Limited,EQ,Dividend-Re.1/- Per Share,1,03-Aug-11,-,05-Aug-11,10-Aug-11,0.1
ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,1,02-Aug-12,-,04-Aug-12,09-Aug-12,0.1
ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Rs.1.40 Per Share,1,30-Jul-13,-,01-Aug-13,08-Aug-13,1.4
ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/Dividend Rs 1.40/- Per Share,1,31-Jul-14,-,02-Aug-14,09-Aug-14,1.4
ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/ Dividend - Rs 1.40/- Per Share,1,31-Jul-15,-,04-Aug-15,11-Aug-15,1.4
ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 0.40/- Per Share (Purpose Revised),1,22-Mar-16,23-Mar-16,-,-,0.4
ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Re 0.40 Per Share,1,31-Jul-17,-,02-Aug-17,09-Aug-17,0.4
ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend Re 0.40 Per Share,1,27-Jul-18,-,31-Jul-18,07-Aug-18,0.4
ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Rs 0.40 Per Share,1,29-Jul-19,-,31-Jul-19,07-Aug-19,0.4
ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 1 Per Share,1,23-Mar-20,25-Mar-20,-,-,1
ADANIENT,Adani Enterprises Limited,EQ, Dividend - Re 1 Per Share,1,01-Jul-21,02-Jul-21,-,-,1
ADANIENT,Adani Enterprises Limited,EQ,Dividend - Re 1 Per Share,1,14-Jul-22,15-Jul-22,-,-,1
ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.20 Per Share,1,07-Jul-23,07-Jul-23,-,-,1.2
ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.30 Per Share,1,14-Jun-24,14-Jun-24,-,-,1.3
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Agm/Dividend - 15%,2,12-Sep-08,-,16-Sep-08,26-Sep-08,0.3
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting And Dividend Rs.1.50 Per Share,2,09-Aug-10,-,11-Aug-10,21-Aug-10,1.5
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend-Re.0.50 Per Share (Purpose Revised),2,14-Feb-11,15-Feb-11,-,-,0.5
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend-Re.0.40 Per Share (Purpose Revised),2,05-May-11,06-May-11,-,-,0.4
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Interim Dividend Re.0.30 Per Share (Purpose Revised),2,13-Feb-12,14-Feb-12,-,-,0.3
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting/ Dividend Rs 0.70 Per Share,2,30-Jul-12,-,01-Aug-12,09-Aug-12,0.7
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,2,30-Jul-13,-,01-Aug-13,08-Aug-13,0.1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Annual General Meeting/Dividend Re 1/- Per Share,2,31-Jul-14,-,02-Aug-14,09-Aug-14,1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 1.10/- Per Share,2,22-May-15,-,26-May-15,30-May-15,1.1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Interim Dividend - Rs 1.10/- Per Share (Purpose Revised),2,22-Mar-16,23-Mar-16,-,-,1.1
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend - Rs 1.30 Per Share,2,31-Jul-17,-,02-Aug-17,09-Aug-17,1.3
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend- Rs 2 Per Share,2,26-Jul-18,-,30-Jul-18,06-Aug-18,2
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend - Rs 0.20 Per Share,2,26-Jul-19,-,30-Jul-19,06-Aug-19,0.2
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Interim Dividend - Rs 3.20 Per Share,2,16-Mar-20,17-Mar-20,-,-,3.2
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Dividend - Rs 5 Per Sh,2,24-Jun-21,25-Jun-21,-,-,5
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 5 Per Share,2,14-Jul-22,15-Jul-22,-,-,5
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 5 Per Share,2,28-Jul-23,28-Jul-23,-,-,5
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 6 Per Share,2,14-Jun-24,14-Jun-24,-,-,6
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Agm/Dividend-40%,5,29-Jul-05,-,02-Aug-05,11-Aug-05,2
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Agm/Dividend-45%,5,27-Jul-06,-,29-Jul-06,07-Aug-06,2.25
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Interim Dividend-30%     Purpose Revised,5,22-Mar-07,24-Mar-07,-,-,1.5
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Agm/Dividend - 60%,5,11-Aug-08,-,13-Aug-08,28-Aug-08,3
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.7/- Per Share,5,15-Jul-10,-,17-Jul-10,26-Jul-10,7
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.3.75 Per Share,5,07-Jul-11,-,09-Jul-11,22-Jul-11,3.75
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend Rs 4 Per Share,5,26-Jul-12,-,28-Jul-12,09-Aug-12,4
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.5.50 Per Share,5,25-Jul-13,-,27-Jul-13,07-Aug-13,5.5
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting And Dividend Rs.5.75 Per Share,5,13-Aug-14,-,19-Aug-14,25-Aug-14,5.75
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Annual General Meeting/Dividend Rs 5.75 Per Share,5,30-Jul-15,-,01-Aug-15,11-Aug-15,5.75
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Interim Dividend - Rs 6/- Per Share (Purpose Revised),5,22-Mar-16,23-Mar-16,-,-,6
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 6/- Per Share,5,07-Sep-17,-,09-Sep-17,20-Sep-17,6
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend- Rs 5 Per Share,5,12-Sep-18,-,15-Sep-18,27-Sep-18,5
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ, Annual General Meeting/Dividend - Rs 6 Per Share,5,12-Sep-19,-,14-Sep-19,27-Sep-19,6
