,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,old_face_value,new_face_value
170,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,2,23-Sep-10,24-Sep-10,-,-,10,2
163,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Face Value Split From Rs.10/- To Rs.5/-,5,02-Sep-10,03-Sep-10,-,-,10,5
259,ASIANPAINT,Asian Paints Limited,EQ,Face Value Split Rs 10 To Re 1,1,30-Jul-13,31-Jul-13,-,-,10,1
276,AXISBANK,Axis Bank Limited,EQ,Face Value Split From Rs 10/- To Rs 2/- Per Share,2,28-Jul-14,30-Jul-14,-,-,10,2
488,BAJAJFINSV,Bajaj Finserv Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,13-Sep-22,14-Sep-22,-,-,5,1
344,BAJFINANCE,Bajaj Finance Limited,EQ, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,08-Sep-16,10-Sep-16,-,-,10,2
355,BEL,Bharat Electronics Limited,EQ, Face Value Split From Rs 10/- Per Share To Re 1/- Per Share,1,16-Mar-17,17-Mar-17,-,-,10,1
166,BRITANNIA,Britannia Industries Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,1,08-Sep-10,09-Sep-10,-,-,10,2
402,BRITANNIA,Britannia Industries Limited,EQ, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,29-Nov-18,30-Nov-18,-,-,2,1
418,EICHERMOT,Eicher Motors Limited,EQ, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,24-Aug-20,25-Aug-20,-,-,10,1
349,GRASIM,Grasim Industries Limited,EQ, Face Value Split From Rs 10 To Re 2,2,06-Oct-16,08-Oct-16,-,-,10,2
212,HDFCBANK,HDFC Bank Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,1,14-Jul-11,16-Jul-11,-,-,10,2
409,HDFCBANK,HDFC Bank Limited,EQ, Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,1,19-Sep-19,20-Sep-19,-,-,2,1
292,ICICIBANK,ICICI Bank Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,04-Dec-14,05-Dec-14,-,-,10,2
167,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Face Value Split From Rs.10/- To Rs.5/-,5,13-Sep-10,14-Sep-10,-,-,10,5
557,NESTLEIND,Nestle India Limited,EQ,Face Value Split (Sub-Division) - From Rs10/- Per Share To Re 1/- Per Share,1,05-Jan-24,05-Jan-24,-,-,10,1
203,ONGC,Oil & Natural Gas Corporation Limited,EQ,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,5,08-Feb-11,09-Feb-11,-,-,10,5
288,SBIN,State Bank of India,EQ,Face Value Split Rs.10/- To Re.1/- Per Share,1,20-Nov-14,21-Nov-14,-,-,10,1
193,SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,Face Value Split From Rs.5/- To Re.1/-,1,25-Nov-10,26-Nov-10,-,-,5,1
150,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,Face Value Split From Rs.10/- To Re.1/-,1,30-Jun-10,02-Jul-10,-,-,10,1
218,TATAMOTORS,Tata Motors Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,2,12-Sep-11,13-Sep-11,-,-,10,2
480,TATASTEEL,Tata Steel Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,28-Jul-22,29-Jul-22,-,-,10,1
305,TECHM,Tech Mahindra Limited,EQ,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,5,19-Mar-15,20-Mar-15,-,-,10,5
211,TITAN,Titan Company Limited,EQ,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,1,23-Jun-11,24-Jun-11,-,-,10,1
345,TRENT,Trent Limited,EQ, Face Value Split From Rs 10 To Re 1,1,12-Sep-16,14-Sep-16,-,-,10,1
