,symbol,companyName,industry,isFNOSec,isETFSec,isDelisted,isin,index
0,TRENT,Trent Limited,Speciality Retail,True,False,False,INE849A03018,NIFTY 50
1,BEL,Bharat Electronics Limited,Aerospace & Defense,True,False,False,INE263A01024,NIFTY 50
2,ADANIENT,Adani Enterprises Limited,Trading - Minerals,True,False,False,INE423A01024,NIFTY 50
3,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services,True,False,False,INE742F01042,NIFTY 50
4,M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,True,False,False,INE101A01026,NIFTY 50
5,BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers,True,False,False,INE917I01010,NIFTY 50
6,COALINDIA,Coal India Limited,Coal,True,False,False,INE522F01014,NIFTY 50
7,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital,True,False,False,INE437A01024,NIFTY 50
8,RELIANCE,Reliance Industries Limited,Refineries & Marketing,True,False,False,INE002A01018,NIFTY 50
9,HDFCBANK,HDFC Bank Limited,Private Sector Bank,True,False,False,INE040A01034,NIFTY 50
10,LT,Larsen & Toubro Limited,Civil Construction,True,False,False,INE018A01030,NIFTY 50
11,NTPC,NTPC Limited,Power Generation,True,False,False,INE733E07JE0,NIFTY 50
12,ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,True,False,False,INE213A01029,NIFTY 50
13,SBIN,State Bank of India,Public Sector Bank,True,False,False,INE062A08041,NIFTY 50
14,BRITANNIA,Britannia Industries Limited,Packaged Foods,True,False,False,INE216A07052,NIFTY 50
15,ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products,True,False,False,INE481G01011,NIFTY 50
16,ASIANPAINT,Asian Paints Limited,Paints,True,False,False,INE021A01026,NIFTY 50
17,BPCL,Bharat Petroleum Corporation Limited,Refineries & Marketing,True,False,False,INE029A01011,NIFTY 50
18,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Tea & Coffee,True,False,False,INE192A01025,NIFTY 50
19,INDUSINDBK,IndusInd Bank Limited,Private Sector Bank,True,False,False,INE095A01012,NIFTY 50
20,AXISBANK,Axis Bank Limited,Private Sector Bank,True,False,False,INE238A01034,NIFTY 50
21,SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),True,False,False,INE721A07HM0,NIFTY 50
22,CIPLA,Cipla Limited,Pharmaceuticals,True,False,False,INE059A01026,NIFTY 50
23,GRASIM,Grasim Industries Limited,Cement & Cement Products,True,False,False,INE047A01021,NIFTY 50
24,KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank,True,False,False,INE237A01028,NIFTY 50
25,EICHERMOT,Eicher Motors Limited,2/3 Wheelers,True,False,False,INE066A01021,NIFTY 50
26,TECHM,Tech Mahindra Limited,Computers - Software & Consulting,True,False,False,INE669C01036,NIFTY 50
27,DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,True,False,False,INE089A08051,NIFTY 50
28,INFY,Infosys Limited,Computers - Software & Consulting,True,False,False,INE009A01021,NIFTY 50
29,HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,True,False,False,INE795G01014,NIFTY 50
30,SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,True,False,False,INE044A01036,NIFTY 50
31,HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,True,False,False,INE158A01026,NIFTY 50
32,HCLTECH,HCL Technologies Limited,Computers - Software & Consulting,True,False,False,INE860A01027,NIFTY 50
33,ICICIBANK,ICICI Bank Limited,Private Sector Bank,True,False,False,INE090A01021,NIFTY 50
34,NESTLEIND,Nestle India Limited,Packaged Foods,True,False,False,INE239A01024,NIFTY 50
35,MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles,True,False,False,INE585B01010,NIFTY 50
36,BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services,True,False,False,INE397D01024,NIFTY 50
37,TCS,Tata Consultancy Services Limited,Computers - Software & Consulting,True,False,False,INE467B01029,NIFTY 50
38,POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,True,False,False,INE752E01010,NIFTY 50
39,TATAMOTORS,Tata Motors Limited,Passenger Cars & Utility Vehicles,True,False,False,INE155A01022,NIFTY 50
40,ITC,ITC Limited,Diversified FMCG,True,False,False,INE154A01025,NIFTY 50
